,Time (min),Valve Position (% open),Temperature (degC)
113,565,100,27.5
114,570,100,27.5
115,575,100,27.7
116,580,100,27.8
117,585,100,27.8
118,590,100,27.9
119,595,100,27.9
120,600,100,28.0
121,605,100,28.2
122,610,100,28.2
123,615,100,28.5
124,620,100,28.7
125,625,100,28.9
126,630,100,29.0
127,635,100,29.2
128,640,100,29.7
129,645,100,29.8
130,650,100,30.1
131,655,100,30.4
132,660,100,30.5
133,665,100,30.9
134,670,100,31.6
135,675,100,31.8
136,680,100,32.2
137,685,100,32.7
138,690,100,32.8
139,695,100,33.0
140,700,100,33.4
141,705,100,33.8
142,710,100,34.0
143,715,100,34.6
144,720,100,34.8
145,725,100,35.2
146,730,100,35.4
147,735,100,35.7
148,740,100,36.0
149,745,100,36.6
150,750,100,36.8
151,755,100,36.9
152,760,100,37.3
153,765,100,37.5
154,770,100,37.7
155,775,100,37.9
156,780,100,37.9
157,785,100,38.3
158,790,100,38.2
159,795,100,38.4
160,800,100,38.7
161,805,100,38.8
162,810,100,39.1
163,815,100,39.2
164,820,100,39.2
165,825,100,39.4
166,830,100,39.4
167,835,100,39.3
168,840,100,39.5
169,845,100,39.5
170,850,100,39.7
171,855,100,39.7
172,860,100,39.8
173,865,100,40.1
174,870,100,39.9
175,875,100,40.1
176,880,100,40.0
177,885,100,40.2
178,890,100,40.1
179,895,100,40.3
180,900,100,40.3
181,905,100,40.2
182,910,100,40.1
183,915,100,40.1
184,920,100,40.1
185,925,100,40.2
186,930,100,40.3
187,935,100,40.4
188,940,100,40.4
189,945,100,40.8
190,950,100,40.8
191,955,100,40.8
192,960,100,40.7
193,965,100,40.9
194,970,100,41.0
195,975,100,41.2
196,980,100,41.3
197,985,100,41.3
198,990,100,41.3
199,995,100,41.3
200,1000,100,41.4
201,1005,100,41.7
202,1010,100,41.7
203,1015,100,41.6
204,1020,100,41.8
205,1025,100,41.6
206,1030,100,41.7
207,1035,100,41.8
208,1040,100,41.9
209,1045,100,42.0
210,1050,100,42.1
211,1055,100,42.0
212,1060,100,42.2
213,1065,100,42.1
214,1070,100,42.4
215,1075,100,42.4
216,1080,100,42.6
217,1085,100,42.7
218,1090,100,42.7
219,1095,100,42.9
220,1100,100,43.0
221,1105,100,43.0
222,1110,100,43.1
223,1115,100,43.2
224,1120,100,43.4
225,1125,100,43.4
226,1130,100,43.5
